   2967 
     75 IPR001680	WD40 repeat
     65 IPR002048	EF-hand domain
     62 IPR013783	Immunoglobulin-like fold
     53 IPR005455	Profilin
     52 IPR000225	Armadillo
     49 IPR036179	Immunoglobulin-like domain superfamily
     48 IPR007110	Immunoglobulin-like domain
     48 IPR000436	Sushi/SCR/CCP domain
     43 IPR001944	Glycoside hydrolase, family 35
     41 IPR003599	Immunoglobulin subtype
     40 IPR002181	Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain
     39 IPR000276	G protein-coupled receptor, rhodopsin-like
     37 IPR000998	MAM domain
     36 IPR008979	Galactose-binding-like domain superfamily
     36 IPR003598	Immunoglobulin subtype 2
     36 IPR000719	Protein kinase domain
     33 IPR000742	EGF-like domain
     29 IPR027417	P-loop containing nucleoside triphosphate hydrolase
     29 IPR001506	Peptidase M12A
     27 IPR001878	Zinc finger, CCHC-type
     27 IPR000504	RNA recognition motif domain
     26 IPR001452	SH3 domain
     25 IPR003582	ShKT domain
     23 IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
     23 IPR000859	CUB domain
     22 IPR003961	Fibronectin type III
     22 IPR000242	PTP type protein phosphatase
     21 IPR014038	Translation elongation factor EF1B, beta/delta subunit, guanine nucleotide exchange domain
     21 IPR011009	Protein kinase-like domain superfamily
     20 IPR013284	Beta-catenin
     18 IPR029058	Alpha/Beta hydrolase fold
     18 IPR016024	Armadillo-type fold
     18 IPR000163	Prohibitin
     17 IPR015943	WD40/YVTN repeat-like-containing domain superfamily
     16 IPR018108	Mitochondrial substrate/solute carrier
     16 IPR013098	Immunoglobulin I-set
     16 IPR003096	Smooth muscle protein/calponin
     16 IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain
     16 IPR002126	Cadherin-like
     16 IPR001881	EGF-like calcium-binding domain
     16 IPR001283	Cysteine-rich  secretory protein-related
     15 IPR018247	EF-Hand 1, calcium-binding site
     15 IPR000980	SH2 domain
     14 IPR036322	WD40-repeat-containing domain superfamily
     14 IPR035914	Spermadhesin, CUB domain superfamily
     14 IPR018940	Elongation factor 1 beta central acidic region, eukaryote
     14 IPR013320	Concanavalin A-like lectin/glucanase domain superfamily
     14 IPR012677	Nucleotide-binding alpha-beta plait domain superfamily
     14 IPR005018	DOMON domain
     13 IPR036465	von Willebrand factor A-like domain superfamily
     13 IPR026298	Blc2 family
     12 IPR036249	Thioredoxin-like superfamily
     12 IPR035976	Sushi/SCR/CCP superfamily
     12 IPR020472	G-protein beta WD-40 repeat
     12 IPR011992	EF-hand domain pair
     12 IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
     12 IPR008993	Tissue inhibitor of metalloproteinases-like, OB-fold
     12 IPR008160	Collagen triple helix repeat
     12 IPR002172	Low-density lipoprotein (LDL) receptor class A repeat
     12 IPR002110	Ankyrin repeat
     12 IPR002035	von Willebrand factor, type A
     12 IPR001715	Calponin homology domain
     12 IPR001356	Homeobox domain
     12 IPR001254	Serine proteases, trypsin domain
     11 IPR035979	RNA-binding domain superfamily
     11 IPR011993	PH-like domain superfamily
     11 IPR006652	Kelch repeat type 1
     11 IPR006553	Leucine-rich repeat, cysteine-containing subtype
     11 IPR001849	Pleckstrin homology domain
     11 IPR001841	Zinc finger, RING-type
     11 IPR001578	Peptidase C12, ubiquitin carboxyl-terminal hydrolase
     10 IPR036188	FAD/NAD(P)-binding domain superfamily
     10 IPR036056	Fibrinogen-like, C-terminal
     10 IPR035940	CAP superfamily
     10 IPR029021	Protein-tyrosine phosphatase-like
     10 IPR020837	Fibrinogen, conserved site
     10 IPR018933	Netrin module, non-TIMP type
     10 IPR017441	Protein kinase, ATP binding site
     10 IPR011989	Armadillo-like helical
     10 IPR006186	Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase
     10 IPR001202	WW domain
      9 IPR036259	MFS transporter superfamily
      9 IPR020479	Homeobox domain, metazoa
      9 IPR019775	WD40 repeat, conserved site
      9 IPR014044	CAP domain
      9 IPR013083	Zinc finger, RING/FYVE/PHD-type
      9 IPR003307	W2 domain
      9 IPR002350	Kazal domain
      9 IPR000885	Fibrillar collagen, C-terminal
      9 IPR000711	ATPase, OSCP/delta subunit
      8 IPR023395	Mitochondrial carrier domain superfamily
      8 IPR017986	WD40-repeat-containing domain
      8 IPR017452	GPCR, rhodopsin-like, 7TM
      8 IPR015915	Kelch-type beta propeller
      8 IPR011625	Alpha-2-macroglobulin, bait region domain
      8 IPR009048	Alpha-macroglobulin, receptor-binding
      8 IPR002241	Glycoside hydrolase, family 27
      8 IPR002017	Spectrin repeat
      8 IPR001806	Small GTPase
      8 IPR001628	Zinc finger, nuclear hormone receptor-type
      8 IPR001623	DnaJ domain
      8 IPR001599	Alpha-2-macroglobulin
      8 IPR001507	Zona pellucida domain
      8 IPR001314	Peptidase S1A, chymotrypsin family
      8 IPR000488	Death domain
      8 IPR000421	Coagulation factor 5/8 C-terminal domain
      8 IPR000315	B-box-type zinc finger
      8 IPR000219	Dbl homology (DH) domain
      8 IPR000195	Rab-GTPase-TBC domain
      8 IPR000152	EGF-type aspartate/asparagine hydroxylation site
      7 IPR043504	Peptidase S1, PA clan, chymotrypsin-like fold
      7 IPR036872	CH domain superfamily
      7 IPR036219	Translation elongation factor eEF-1beta-like superfamily
      7 IPR024079	Metallopeptidase, catalytic domain superfamily
      7 IPR018159	Spectrin/alpha-actinin
      7 IPR016135	Ubiquitin-conjugating enzyme/RWD-like
      7 IPR016021	MIF4G-like domain superfamily
      7 IPR014717	Translation elongation factor EF1B/ribosomal protein S6
      7 IPR013568	SEFIR domain
      7 IPR011990	Tetratricopeptide-like helical domain superfamily
      7 IPR011356	Peptidase M17, leucine aminopeptidase/peptidase B
      7 IPR002401	Cytochrome P450, E-class, group I
      7 IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
      7 IPR002119	Histone H2A
      7 IPR001921	Ribosomal protein L7A/L8
      7 IPR001564	Nucleoside diphosphate kinase
      7 IPR001487	Bromodomain
      6 IPR038081	CalX-like domain superfamily
      6 IPR036834	Blc2-like superfamily
      6 IPR036770	Ankyrin repeat-containing domain superfamily
      6 IPR036638	Helix-loop-helix DNA-binding domain superfamily
      6 IPR036612	K Homology domain, type 1 superfamily
      6 IPR036597	Fido-like domain superfamily
      6 IPR036388	Winged helix-like DNA-binding domain superfamily
      6 IPR036140	Profilin superfamily
      6 IPR036116	Fibronectin type III superfamily
      6 IPR036055	LDL receptor-like superfamily
      6 IPR029044	Nucleotide-diphospho-sugar transferases
      6 IPR020683	Ankyrin repeat-containing domain
      6 IPR017868	Filamin/ABP280 repeat-like
      6 IPR017853	Glycoside hydrolase superfamily
      6 IPR015919	Cadherin-like superfamily
      6 IPR010513	KEN domain
      6 IPR008271	Serine/threonine-protein kinase, active site
      6 IPR006015	Universal stress protein A family
      6 IPR004827	Basic-leucine zipper domain
      6 IPR004240	Nonaspanin (TM9SF)
      6 IPR003891	Initiation factor eIF-4 gamma, MA3
      6 IPR003812	Fido domain
      6 IPR003591	Leucine-rich repeat, typical subtype
      6 IPR003409	MORN motif
      6 IPR002343	Paraneoplastic encephalomyelitis antigen
      6 IPR002320	Threonine-tRNA ligase, class IIa
      6 IPR002113	ADP/ATP carrier protein, eukaryotic type
      6 IPR002108	Actin-depolymerising factor homology domain
      6 IPR002067	Mitochondrial carrier protein
      6 IPR001766	Fork head domain
      6 IPR001611	Leucine-rich repeat
      6 IPR001134	Netrin domain
      6 IPR001128	Cytochrome P450
      6 IPR000644	CBS domain
      6 IPR000484	Photosynthetic reaction centre, L/M
      6 IPR000175	Sodium:neurotransmitter symporter
      6 IPR000159	Ras-associating (RA) domain
      5 IPR039465	Interleukin-17 receptor-like
      5 IPR036875	Zinc finger, CCHC-type superfamily
      5 IPR036390	Winged helix DNA-binding domain superfamily
      5 IPR036028	SH3-like domain superfamily
      5 IPR034113	Golgi-associated plant pathogenesis-related protein 1, SCP domain
      5 IPR032675	Leucine-rich repeat domain superfamily
      5 IPR029071	Ubiquitin-like domain superfamily
      5 IPR024983	CHAT domain
      5 IPR011029	Death-like domain superfamily
      5 IPR009071	High mobility group box domain
      5 IPR004000	Actin family
      5 IPR001848	Ribosomal protein S10
      5 IPR001752	Kinesin motor domain
      5 IPR001723	Nuclear hormone receptor
      5 IPR001660	Sterile alpha motif domain
      5 IPR000945	Dopamine beta-hydroxylase-like
      5 IPR000884	Thrombospondin type-1 (TSP1) repeat
      5 IPR000266	Ribosomal protein S17/S11
      4 IPR043204	Basigin-like
      4 IPR042097	Aminopeptidase N-like , N-terminal
      4 IPR041679	DNA2/NAM7 helicase-like, C-terminal
      4 IPR041555	Macroglobulin domain MG3
      4 IPR041425	Complement C3/4/5, macroglobulin domain MG1
      4 IPR040839	Macroglobulin domain MG4
      4 IPR036910	High mobility group box domain superfamily
      4 IPR036860	SH2 domain superfamily
      4 IPR036850	Nucleoside diphosphate kinase-like domain superfamily
      4 IPR036838	Ribosomal protein S10 domain superfamily
      4 IPR036802	ATP:guanido phosphotransferase, N-terminal domain superfamily
      4 IPR036595	Alpha-macroglobulin, receptor-binding domain superfamily
      4 IPR036396	Cytochrome P450 superfamily
      4 IPR036383	Thrombospondin type-1 (TSP1) repeat superfamily
      4 IPR036034	PDZ superfamily
      4 IPR035969	Rab-GTPase-TBC domain superfamily
      4 IPR035899	Dbl homology (DH) domain superfamily
      4 IPR034907	Nucleoside diphosphate kinase-like domain
      4 IPR031330	Glycoside hydrolase 35, catalytic domain
      4 IPR027486	Ribosomal protein S10 domain
      4 IPR027409	GroEL-like apical domain superfamily
      4 IPR026283	Beta-galactosidase 1-like
      4 IPR022812	Dynamin superfamily
      4 IPR022414	ATP:guanido phosphotransferase, catalytic domain
      4 IPR022413	ATP:guanido phosphotransferase, N-terminal
      4 IPR020635	Tyrosine-protein kinase, catalytic domain
      4 IPR020552	Inositol monophosphatase, lithium-sensitive
      4 IPR020454	Diacylglycerol/phorbol-ester binding
      4 IPR019801	Glycoside hydrolase, family 35, conserved site
      4 IPR019742	Alpha-2-macroglobulin, conserved site
      4 IPR019734	Tetratricopeptide repeat
      4 IPR018492	Ribosomal protein L7Ae/L8/Nhp2 family
      4 IPR018097	EGF-like calcium-binding, conserved site
      4 IPR017907	Zinc finger, RING-type, conserved site
      4 IPR017904	ADF/Cofilin
      4 IPR014729	Rossmann-like alpha/beta/alpha sandwich fold
      4 IPR013766	Thioredoxin domain
      4 IPR013761	Sterile alpha motif/pointed domain superfamily
      4 IPR013026	Tetratricopeptide repeat-containing domain
      4 IPR011626	Alpha-macroglobulin-like, TED domain
      4 IPR009072	Histone-fold
      4 IPR009000	Translation protein, beta-barrel domain superfamily
      4 IPR008930	Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid
      4 IPR008859	Thrombospondin, C-terminal
      4 IPR006689	Small GTPase superfamily, ARF/SAR type
      4 IPR005819	Linker histone H1/H5
      4 IPR005225	Small GTP-binding protein domain
      4 IPR005146	B3/B4 tRNA-binding domain
      4 IPR004313	Acireductone dioxygenase ARD family
      4 IPR004092	Mbt repeat
      4 IPR002890	Macroglobulin domain
      4 IPR002347	Short-chain dehydrogenase/reductase SDR
      4 IPR001936	Ras GTPase-activating domain
      4 IPR001930	Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase
      4 IPR001876	Zinc finger, RanBP2-type
      4 IPR001515	Ribosomal protein L32e
      4 IPR001494	Importin-beta, N-terminal domain
      4 IPR001375	Peptidase S9, prolyl oligopeptidase, catalytic domain
      4 IPR001163	LSM domain, eukaryotic/archaea-type
      4 IPR001107	Band 7 domain
      4 IPR001046	NRAMP family
      4 IPR000960	Flavin monooxygenase FMO
      4 IPR000812	Transcription factor TFIIB
      4 IPR000778	Cytochrome b245, heavy chain
      4 IPR000760	Inositol monophosphatase-like
      4 IPR000589	Ribosomal protein S15
      4 IPR000301	Tetraspanin
      4 IPR000243	Peptidase T1A, proteasome beta-subunit
      3 IPR040198	Fido domain-containing protein
      3 IPR039181	EIG121-like
      3 IPR038765	Papain-like cysteine peptidase superfamily
      3 IPR038357	KEN domain superfamily
      3 IPR036291	NAD(P)-binding domain superfamily
      3 IPR036058	Kazal domain superfamily
      3 IPR035892	C2 domain superfamily
      3 IPR034035	Astacin-like metallopeptidase domain
      3 IPR031248	E3 ubiquitin-protein ligase RNF213
      3 IPR029064	50S ribosomal protein L30e-like
      3 IPR029055	Nucleophile aminohydrolases, N-terminal
      3 IPR028460	Tyramine beta-hydroxylase/Dopamine beta-hydroxylase
      3 IPR027469	Cation efflux transmembrane domain superfamily
      3 IPR027413	GroEL-like equatorial domain superfamily
      3 IPR026082	ABC transporter A
      3 IPR023415	Low-density lipoprotein (LDL) receptor class A, conserved site
      3 IPR023247	Dynein-f, intermediate chain IC97/Casc1-like
      3 IPR020831	Glyceraldehyde/Erythrose phosphate dehydrogenase family
      3 IPR019956	Ubiquitin domain
      3 IPR018114	Serine proteases, trypsin family, histidine active site
      3 IPR017998	Chaperone tailless complex polypeptide 1 (TCP-1)
      3 IPR017970	Homeobox, conserved site
      3 IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain
      3 IPR016158	Cullin homology domain
      3 IPR015917	Peptidase C14A, caspase catalytic domain
      3 IPR014806	Ubiquitin-fold modifier-conjugating enzyme 1
      3 IPR014756	Immunoglobulin E-set
      3 IPR014710	RmlC-like jelly roll fold
      3 IPR012340	Nucleic acid-binding, OB-fold
      3 IPR011051	RmlC-like cupin domain superfamily
      3 IPR011042	Six-bladed beta-propeller, TolB-like
      3 IPR011011	Zinc finger, FYVE/PHD-type
      3 IPR010226	NADH-quinone oxidoreductase, chain I
      3 IPR009061	Putative DNA-binding domain superfamily
      3 IPR009057	Homeobox-like domain superfamily
      3 IPR009030	Growth factor receptor cysteine-rich domain superfamily
      3 IPR009003	Peptidase S1, PA clan
      3 IPR008936	Rho GTPase activation protein
      3 IPR008266	Tyrosine-protein kinase, active site
      3 IPR007842	HEPN domain
